count,country,request_url,scrap_date,scrap_time
5,Niasviž,https://www.getyourguide.com/destinations/belarus-n89/,2019-11-11,22:45
1,Stalin Line,https://www.getyourguide.com/destinations/belarus-n89/,2019-11-11,22:45
1,Basilica Saint Michael,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
10,"Danube River, Austria",https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
3,Eisenstadt,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Elfer,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
3,Graz,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Hallein,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
12,Hallstatt,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
23,Innsbruck,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Kaprun,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Korneuburg,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
7,Lake Wolfgang,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
5,Melk,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
8,Mondsee,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Mozart Geburtshaus,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Mozart-Wohnhaus,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Oberndorf bei Salzburg,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Oetztal,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Parndorf,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Ramsau am Dachstein,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Römerstadt Carnuntum,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Saint Wolfgang im Salzkammergut,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
87,Salzburg,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
1,Seefeld,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
3,St Gilgen,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Stubaital,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
4,Swarovski Kristallwelten,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
253,Vienna,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
11,Wachau Valley,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
2,Werfen,https://www.getyourguide.com/destinations/austria-n22/,2019-11-11,22:45
3,Andorra la Vella,https://www.getyourguide.com/destinations/andorra-n77/,2019-11-11,22:45
1,Canillo,https://www.getyourguide.com/destinations/andorra-n77/,2019-11-11,22:45
3,El Pas de la Casa,https://www.getyourguide.com/destinations/andorra-n77/,2019-11-11,22:45
1,La Massana,https://www.getyourguide.com/destinations/andorra-n77/,2019-11-11,22:45
3,Ordino,https://www.getyourguide.com/destinations/andorra-n77/,2019-11-11,22:45
4,Apollonia,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
7,Berat,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
5,Durres,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
1,Elbasan,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
4,Fier District,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
4,Gjirokaster,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
2,Krujë,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
4,Lake Skadar,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
4,Shkoder,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
19,Tirana,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
2,Vlore,https://www.getyourguide.com/destinations/albania-n74/,2019-11-11,22:45
29,St. George's,https://www.getyourguide.com/destinations/grenada-n139/,2019-11-11,22:45
1,La Libertad,https://www.getyourguide.com/destinations/el-salvador-n123/,2019-11-11,22:45
6,"San Andrés, El Salvador",https://www.getyourguide.com/destinations/el-salvador-n123/,2019-11-11,22:45
20,San Salvador,https://www.getyourguide.com/destinations/el-salvador-n123/,2019-11-11,22:45
6,27 Waterfalls,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
2,Bahia de las Aguilas,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,Barahona Province,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
2,Barceló Bávaro Beach,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
13,Bayahibe,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
11,Cabarete,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
3,Cayo Levantado,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,Country World Adventure Park,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
3,El Limón Waterfall,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
4,Higuey,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
3,Indigenous Eyes Ecological Park and Reserve,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
3,Jaragua National Park,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,Jasmine Spa & Wellness Center,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
11,La Romana,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
2,Las Terrenas,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
2,Los Tres Ojos,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,"National Aquarium, Santo Domingo",https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,Neyba,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
3,Pedernales Province,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
52,Puerto Plata,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
108,Punta Cana,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
5,Santiago,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
23,Santo Domingo,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
6,Saona Island,https://www.getyourguide.com/destinations/dominican-republic-n121/,2019-11-11,22:46
1,Sint Joris,https://www.getyourguide.com/destinations/curaao-n255/,2019-11-11,22:46
16,Willemstad,https://www.getyourguide.com/destinations/curaao-n255/,2019-11-11,22:46
1,Cayo Levisa,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
3,Cienfuegos,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
21,Havana,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
1,Santiago de Cuba,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
1,Trinidad,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
11,Varadero,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
1,Viñales,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
2,Viñales Valley,https://www.getyourguide.com/destinations/cuba-n118/,2019-11-11,22:46
2,Aquiares,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Caribbean Coast,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Cartago,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
5,Catarata La Fortuna,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,"Daniel Oduber Quirós International Airport, Liberia",https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
2,Gulf of Papagayo,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,"Hacienda Guachipelin, Liberia",https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
3,Heredia,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Irazú Volcano,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
28,Jaco,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
103,La Fortuna,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
2,Lake Arenal,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
17,Liberia,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
10,Monteverde,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
8,"Playa Blanca, Costa Rica",https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
4,Playa Flamingo,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
3,Playa Hermosa,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
2,Puntarenas,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
11,Quepos,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
3,Rio Celeste y Los Teñideros,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Río Peñas Blancas,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
47,San Jose,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Santa Teresa,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Sarapiqui River,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Tajo Alto,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
13,Tamarindo,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
1,Tortuguero National Park,https://www.getyourguide.com/destinations/costa-rica-n13/,2019-11-11,22:46
8,George Town,https://www.getyourguide.com/destinations/cayman-islands-n107/,2019-11-11,22:46
1,Seven Mile Beach,https://www.getyourguide.com/destinations/cayman-islands-n107/,2019-11-11,22:46
2,Bodega Bouza,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,Canelones,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,Carrasco International Airport,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,Casapueblo Museum,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
2,Colonia del Sacramento,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
16,Montevideo,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
3,Montevideo Department,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,Piriápolis,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,"Playa Vik, Jose Ignacio",https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
1,Punta Ballena,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
4,Punta del Este,https://www.getyourguide.com/destinations/uruguay-n16/,2019-11-11,22:46
20,Aguas Calientes,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
22,Arequipa,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Chachapoyas,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
4,Chinchero District,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
2,Chivay,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Choquequirao,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
16,Colca Canyon,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Coporaque,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
114,Cusco,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,El Arbol De La Lupuna,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Fundo Pedrito,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Gocta Waterfall,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
2,Huaypo,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
9,Humantay Lake,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
10,Ica,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
9,Inca Trail to Machu Picchu,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
10,Iquitos,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Itaya River,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Kuelap Fortress,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
